,0,1,2,3,4,5,6,7,8,9
20,0.005181313,0.000906229,0.001015902,0.007491112,0.01154542,0.01644921,0.01561236,0.01602101,0.01613688,0.01605439
40,0.008759022,0.005575418,0.005835056,0.00559926,0.006044149,0.005726099,0.005897999,0.005980015,0.005805016,0.005926609
60,0.003842592,0.005957603,0.005898476,0.006135464,0.006134987,0.005975246,0.005800724,0.005942822,0.005570889,0.005877495
80,0.003051758,0.005774736,0.00556922,0.006199121,0.005746365,0.005446672,0.005647659,0.005765438,0.005545616,0.005779505
100,0.003102541,0.006162643,0.001131773,0.006189823,0.005949974,0.006079674,0.005750656,0.005824566,0.005617142,0.005847216
120,0.001891375,0.005570889,0.005592346,0.005377531,0.005580425,0.00575161,0.005827904,0.005651712,0.0060215,0.005525112
140,0.0009036064,0.005511045,0.005653143,0.00714469,0.00580883,0.00565958,0.005901337,0.005793095,0.005450487,0.005381823
160,0.001550198,0.005367756,0.005668402,0.005694628,0.00559926,0.005682468,0.005805969,0.005734682,0.005625963,0.006028891
180,0.001321554,0.005436897,0.005552053,0.005871773,0.005677462,0.005584955,0.005854845,0.005746365,0.005286217,0.005633354
200,0.0009903908,0.005581856,0.005706787,0.005401373,0.00572753,0.005751848,0.005738497,0.005764723,0.005650282,0.005406618
220,0.001333237,0.005176783,0.005611897,0.006073236,0.005791187,0.005503416,0.005647659,0.005366325,0.005411386,0.005300522
240,0.0011518,0.005422115,0.005569696,0.005572319,0.005632639,0.005497217,0.00560379,0.005835056,0.005508184,0.005506516
260,0.001002789,0.005395174,0.005520582,0.005835056,0.005343676,0.005674362,0.005160332,0.00537014,0.005640507,0.005931854
280,0.001452923,0.001311064,0.005818844,0.005110741,0.004754305,0.005173922,0.005028486,0.004607677,0.005215168,0.00457263
300,0.001552343,0.004525185,0.004709721,0.00537014,0.006591797,0.004824638,0.005456924,0.002145767,0.005489349,0.008290291
320,0.001074314,0.005137444,0.00829792,0.00536108,0.005411148,0.00528574,0.006332874,0.005623341,0.005514622,0.008343697
340,0.001022816,0.005307674,0.004890442,0.005589008,0.004811764,0.005487919,0.008419514,0.005508423,0.005729675,0.005509377
360,0.00122118,0.004842281,0.005311966,0.005373001,0.005498886,0.005509853,0.005694389,0.008843899,0.005243301,0.005414009
380,0.001171112,0.005501747,0.005719662,0.005986691,0.00540638,0.006089687,0.005815983,0.005633831,0.006173134,0.006001472
400,0.001525402,0.005307198,0.005491734,0.006349564,0.006250858,0.006094933,0.005982876,0.005105972,0.005037308,0.004535198
420,0.001815796,0.005027771,0.00566864,0.005848885,0.00587368,0.005728245,0.005235672,0.005743027,0.006447792,0.005975246
440,0.002069473,0.005203724,0.005886555,0.006558418,0.005992889,0.006136894,0.006164074,0.005915165,0.006352425,0.005683422
460,0.001321793,0.004836082,0.005996704,0.006403446,0.005931854,0.006635666,0.006131649,0.005923271,0.006350517,0.005878448
480,0.001385212,0.001429081,0.005537987,0.005605698,0.005451202,0.005194664,0.005400658,0.005245209,0.005471706,0.006326199
500,0.002173424,0.00510931,0.005875111,0.006215572,0.006258965,0.006107807,0.005931854,0.006610394,0.005987167,0.006373882
520,0.001834393,0.004641056,0.006040573,0.006344795,0.006227016,0.005923748,0.006099224,0.006267071,0.006331921,0.006525993
540,0.001591682,0.005745888,0.00570631,0.006493568,0.006330967,0.005820751,0.00602293,0.005904198,0.007087708,0.00607872
560,0.001719952,0.006281853,0.006741047,0.006012917,0.006712437,0.006597996,0.006001472,0.006092072,0.006628513,0.006087303
580,0.001523972,0.00532341,0.006313801,0.006004333,0.006319523,0.006440163,0.006277084,0.006249905,0.006056786,0.006293297
600,0.002682686,0.005756378,0.006647587,0.006147385,0.006596088,0.006266594,0.005932808,0.005797863,0.006113529,0.007332325
620,0.002075672,0.005344391,0.005869865,0.00661993,0.006401062,0.006544113,0.006387711,0.006472111,0.006365776,0.006716728
640,0.002247334,0.002400875,0.0064044,0.006871223,0.006536484,0.006184578,0.006766319,0.006456852,0.006900311,0.006436825
660,0.002387524,0.005735397,0.005950451,0.006931782,0.005861282,0.006287098,0.006549835,0.006476879,0.006377697,0.006807804
680,0.001843929,0.005718708,0.006499767,0.006731033,0.00633812,0.006536961,0.006540298,0.006979942,0.006390095,0.006008625
700,0.0022645,0.006447315,0.006317616,0.006969929,0.006759644,0.00695467,0.006660461,0.005970955,0.006817818,0.006494522
720,0.001749039,0.006196499,0.007243156,0.006603718,0.007191658,0.006931305,0.006408691,0.006283283,0.00664711,0.006159306
740,0.001793385,0.005549908,0.006509304,0.006626606,0.006617546,0.006885529,0.006130695,0.006927013,0.006552696,0.006512642
760,0.002096176,0.006234646,0.00665617,0.006804466,0.00680542,0.0065732,0.006938934,0.007061005,0.006536484,0.006205082
780,0.002744198,0.002303123,0.006635666,0.007664204,0.007122993,0.00644207,0.006466389,0.007219791,0.006861687,0.006213188
800,0.001825809,0.006134987,0.006432056,0.00673914,0.007427692,0.00691843,0.006921291,0.006850719,0.006970406,0.006883144
820,0.002626896,0.005186558,0.007042885,0.007169724,0.00693512,0.006531239,0.006857872,0.006950378,0.006942749,0.006730556
840,0.002073765,0.006275177,0.006464481,0.006863594,0.006435871,0.006531239,0.00695467,0.00637722,0.006677151,0.007550716
860,0.002042294,0.006204128,0.006504059,0.007320881,0.006363869,0.007001877,0.006140709,0.007015228,0.006893158,0.007590771
880,0.002612114,0.005906105,0.006840229,0.007657051,0.007137775,0.006644249,0.006316662,0.006881714,0.006259441,0.006690025
900,0.003086567,0.006646156,0.006494522,0.00758028,0.006781578,0.006749153,0.006536484,0.00726223,0.006278992,0.007041931
920,0.002112865,0.002168179,0.007126331,0.007380962,0.006174564,0.006978512,0.006779194,0.007231236,0.007127285,0.006690979
940,0.002166271,0.005635738,0.007763863,0.007654667,0.007102489,0.006998062,0.007013321,0.007286549,0.007303238,0.006911278
960,0.001924038,0.005598068,0.007349968,0.006857872,0.007419109,0.007457256,0.007456303,0.006938934,0.006987572,0.007328987
980,0.002080917,0.006428719,0.006428719,0.0073452,0.008054733,0.005819321,0.007330894,0.006971359,0.007029533,0.006767273
1000,0.003229141,0.00566864,0.007287979,0.007097244,0.007111549,0.007130623,0.006848335,0.006965637,0.007385254,0.006718636
1020,0.002082825,0.00599575,0.006745338,0.006821632,0.007259369,0.007464409,0.007097244,0.007266045,0.007182121,0.007287979
1040,0.002402306,0.006674767,0.006812096,0.007064819,0.002836227,0.006902695,0.007297516,0.007102966,0.008187294,0.007374763
1060,0.002111435,0.005635262,0.007313728,0.007350922,0.007177353,0.00760746,0.006762505,0.007540703,0.006987572,0.006884575
1080,0.002181053,0.005954742,0.007452965,0.007101059,0.006933212,0.00706768,0.007470131,0.006650925,0.00736618,0.00743103
1100,0.002761841,0.005914688,0.007320404,0.007276535,0.007204056,0.00707531,0.007436752,0.007137299,0.007843018,0.007139206
1120,0.002305031,0.006058693,0.007040977,0.007055283,0.007008553,0.007538795,0.007351875,0.007063866,0.006946564,0.006791115
1140,0.002477646,0.005853653,0.007310867,0.007099152,0.007509232,0.007882118,0.007108688,0.007816315,0.007511139,0.006932259
1160,0.00255394,0.002532959,0.007577896,0.007517815,0.006619453,0.00753212,0.007811546,0.007120132,0.007065773,0.007712364
1180,0.003289223,0.006185532,0.007153511,0.007576942,0.007508278,0.006936073,0.007248878,0.007883072,0.007790565,0.00792408
1200,0.002700806,0.005311966,0.007250786,0.007779121,0.006918907,0.007564545,0.007387161,0.007580757,0.007564545,0.007523537
1220,0.003117561,0.005839348,0.00755024,0.007652283,0.007425308,0.007778168,0.007269859,0.007277489,0.00776577,0.007908821
1240,0.002768517,0.005181313,0.007572174,0.007549286,0.007106781,0.007094383,0.007080078,0.007165909,0.007733345,0.007421494
1260,0.002570152,0.005513191,0.007232666,0.007640839,0.006845474,0.007164001,0.007535934,0.007172585,0.007593155,0.007112503
1280,0.003494263,0.003626823,0.00707531,0.00773716,0.006947517,0.00776577,0.007375717,0.007431984,0.007452965,0.007268906
1300,0.002559662,0.005701065,0.007490158,0.007931709,0.007452011,0.007403374,0.007228851,0.008110046,0.007126808,0.007800102
1320,0.002951622,0.005851746,0.007866859,0.008118629,0.007769585,0.007497787,0.007394791,0.007164001,0.007732391,0.007011414
1340,0.003620148,0.005206108,0.007742882,0.007976532,0.007513046,0.007657051,0.007817268,0.007340431,0.007646561,0.007469177
1360,0.003829002,0.005628586,0.008136749,0.008013725,0.007303238,0.007597923,0.007847786,0.007375717,0.008311272,0.007837296
1380,0.002782822,0.005957603,0.007470131,0.007884979,0.007739067,0.007069588,0.007821083,0.007659912,0.007587433,0.007508278
1400,0.002652168,0.003147125,0.007810593,0.007760048,0.007764816,0.008057594,0.007566452,0.007257462,0.007692337,0.00800705
1420,0.002603531,0.005876541,0.008318901,0.007932663,0.008012772,0.007833481,0.007685661,0.007913589,0.008239746,0.008197784
1440,0.002915382,0.006500244,0.007915497,0.008195877,0.008232117,0.008487701,0.007217407,0.008069992,0.007501602,0.008039474
1460,0.002771378,0.004917145,0.007681847,0.007650375,0.008361816,0.007567406,0.007552147,0.00769043,0.007774353,0.007283211
1480,0.003904343,0.005489349,0.007795334,0.008713722,0.007338524,0.008274078,0.007850647,0.008200645,0.008077621,0.007346153
1500,0.002735138,0.00597477,0.007628441,0.00750351,0.007943153,0.008194923,0.007350922,0.00808239,0.007756233,0.007518768
1520,0.002842903,0.002707481,0.008181572,0.008065224,0.007975578,0.008066177,0.007842064,0.008272171,0.008060455,0.007253647
1540,0.003084183,0.005948067,0.007978439,0.007646561,0.007594109,0.008223534,0.007735252,0.00790596,0.007983208,0.008766174
1560,0.002840042,0.0058918,0.008090019,0.007968903,0.008460999,0.008187294,0.007637024,0.007460594,0.0079813,0.008360863
1580,0.003290176,0.00579071,0.008257866,0.007675171,0.007780075,0.008080482,0.007678986,0.007535934,0.007766724,0.007819176
1600,0.003269196,0.005381584,0.007980347,0.00729084,0.007629395,0.008508682,0.008002281,0.007401466,0.008090019,0.008237839
1620,0.004711151,0.005255699,0.00822258,0.007890701,0.008385658,0.008146286,0.009179115,0.008670807,0.008428574,0.008232117
1640,0.003658295,0.004696846,0.008598328,0.008694649,0.008714676,0.008676529,0.009338379,0.008671761,0.008500099,0.008880615
1660,0.003872871,0.00651741,0.00829792,0.008911133,0.00946331,0.00934124,0.008498192,0.008700371,0.008738518,0.00822258
1680,0.003879547,0.005356789,0.009227753,0.008272171,0.008769989,0.008310318,0.009282112,0.008482933,0.008189201,0.00916481
1700,0.004692078,0.006278038,0.008634567,0.009086609,0.008971214,0.00853157,0.008480072,0.008708,0.008818626,0.008340836
1720,0.003807068,0.006024361,0.007872581,0.009854317,0.008763313,0.008441925,0.00921154,0.008151054,0.009135246,0.008378983
1740,0.004299164,0.00683403,0.008475304,0.009117126,0.008784294,0.008852005,0.00907135,0.008108139,0.008543968,0.008318901
1760,0.004943848,0.004051208,0.008774757,0.008996964,0.008921623,0.008759499,0.008880615,0.009007454,0.008874893,0.009124756
1780,0.004741669,0.006857872,0.009496689,0.009264946,0.008512497,0.008656502,0.009365082,0.008571625,0.00869751,0.009277344
1800,0.004272461,0.006906509,0.009029388,0.008566856,0.008348465,0.008975983,0.009223938,0.008799553,0.008803368,0.008518219
1820,0.005202293,0.007234573,0.009682655,0.008776665,0.008951187,0.008898735,0.009337425,0.009245872,0.008974075,0.009566307
1840,0.004878998,0.005653381,0.009268761,0.009385109,0.009165764,0.009236336,0.01003933,0.008874893,0.009007454,0.008823395
1860,0.004164696,0.006514549,0.008244514,0.008675575,0.008800507,0.008966446,0.008620262,0.008965492,0.008796692,0.008383751
1880,0.00392437,0.005448341,0.005126953,0.009392738,0.009159088,0.009656906,0.008881569,0.009180069,0.00935936,0.008069038
1900,0.004102707,0.007037163,0.009077072,0.009190559,0.009083748,0.009637833,0.009795189,0.009431839,0.008483887,0.008781433
1920,0.00519371,0.006153107,0.008615494,0.009218216,0.008443832,0.009315491,0.00894928,0.00942421,0.009214401,0.008882523
1940,0.004144669,0.006439209,0.009527206,0.009496689,0.009187698,0.008979797,0.009532928,0.00967598,0.009443283,0.008411407
1960,0.004243851,0.005355835,0.009174347,0.009578705,0.009746552,0.009044647,0.009008408,0.00818634,0.008581161,0.009025574
1980,0.00494957,0.00718689,0.008962631,0.009473801,0.00969696,0.00938797,0.009773254,0.009298325,0.009010315,0.009605408
2000,0.004522324,0.006175995,0.009269714,0.009698868,0.009002686,0.009464264,0.00951004,0.009054184,0.009334564,0.009263992
2020,0.004695892,0.005979538,0.009374619,0.01200104,0.009271622,0.00983429,0.009805679,0.00941658,0.008743286,0.009807587
2040,0.004667282,0.004817963,0.009344101,0.009361267,0.008893967,0.009952545,0.00989151,0.009860992,0.008945465,0.009529114
2060,0.005239487,0.006649017,0.009651184,0.009809494,0.00925827,0.009326935,0.009273529,0.009979248,0.009305954,0.009395599
2080,0.005342484,0.006057739,0.009256363,0.00941658,0.00909996,0.008979797,0.009296417,0.009000778,0.009347916,0.009557724
2100,0.00519371,0.006225586,0.009439468,0.009508133,0.009885788,0.008901596,0.009277344,0.00992012,0.009714127,0.009115219
2120,0.005132675,0.006635666,0.009576797,0.009386063,0.005687714,0.005647659,0.009407043,0.009317398,0.009361267,0.009431839
2140,0.005674362,0.006101608,0.01101685,0.009601593,0.009029388,0.009393692,0.009553909,0.009183884,0.009664536,0.009599686
2160,0.005146027,0.006710052,0.009767532,0.009597778,0.009489059,0.009462357,0.009012222,0.0092659,0.009382248,0.009332657
2180,0.004859924,0.00658989,0.009536743,0.01020813,0.009031296,0.009449005,0.009561539,0.008968353,0.009567261,0.009407043
2200,0.006093979,0.006502151,0.009437561,0.009828568,0.009378433,0.009349823,0.009120941,0.01000786,0.009489059,0.009538651
2220,0.004983902,0.004999161,0.009691238,0.009317398,0.009683609,0.009706497,0.009860992,0.009946823,0.00954628,0.009700775
2240,0.005455017,0.005884171,0.009283066,0.009778976,0.009349823,0.009752274,0.00967598,0.009605408,0.009963989,0.009552002
2260,0.006015778,0.0064888,0.01014709,0.009765625,0.009860992,0.009759903,0.009567261,0.009725571,0.00938797,0.008975983
2280,0.005226135,0.006462097,0.009689331,0.009511948,0.01009369,0.00951004,0.009578705,0.009679794,0.009130478,0.01009369
2300,0.00573349,0.006364822,0.009677887,0.009952545,0.00966835,0.009647369,0.009830475,0.009195328,0.009187698,0.009750366
2320,0.005382538,0.005792618,0.01013374,0.009693146,0.009176254,0.009902954,0.009893417,0.009740829,0.009662628,0.009170532
2340,0.005367279,0.006772995,0.00976181,0.009922028,0.0100708,0.01000214,0.009662628,0.01082611,0.01008224,0.009462357
2360,0.006126404,0.006095886,0.01045418,0.01042747,0.009887695,0.009202957,0.009561539,0.009614944,0.01024055,0.01008415
2380,0.005447388,0.006317139,0.009752274,0.009449005,0.009382248,0.009199142,0.009803772,0.009881973,0.009431839,0.008995056
2400,0.004964828,0.00629425,0.009429932,0.009420395,0.00992012,0.009992599,0.010149,0.0100956,0.009845734,0.009929657
